Benchmark                                         (fileName)  (zstdLevel)   Mode  Cnt     Score     Error  Units
ZstdCompressBenchmark.compressPlainJson        /twitter.json           17  thrpt    5    22.842 ±   0.039  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           18  thrpt    5    18.931 ±   0.064  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           19  thrpt    5     8.609 ±   0.042  ops/s
ZstdCompressBenchmark.compressPlainJson        /twitter.json           20  thrpt    5     8.614 ±   0.021  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            1  thrpt    5  3163.403 ±  17.968  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            2  thrpt    5  2377.118 ±  12.354  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            3  thrpt    5  2041.196 ±   4.401  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            4  thrpt    5  1219.054 ±   4.613  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            5  thrpt    5  1099.146 ±   4.789  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            6  thrpt    5   910.409 ±   5.244  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            7  thrpt    5   820.928 ±   1.758  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            8  thrpt    5   686.150 ±   2.663  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json            9  thrpt    5   609.848 ±   1.969  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           10  thrpt    5   533.050 ±   1.777  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           11  thrpt    5   124.881 ±   1.065  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           12  thrpt    5    81.883 ±   2.639  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           13  thrpt    5    82.603 ±   0.599  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           14  thrpt    5    72.501 ±   0.352  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           15  thrpt    5    65.029 ±   0.295  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           16  thrpt    5    44.862 ±   0.236  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           17  thrpt    5    42.455 ±   0.182  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           18  thrpt    5    27.658 ±   0.105  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           19  thrpt    5    26.318 ±   0.066  ops/s
ZstdCompressBenchmark.compressSmileJson        /twitter.json           20  thrpt    5    12.515 ±   0.030  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json            1  thrpt    5   476.474 ±   0.648  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json            2  thrpt    5   501.268 ±   1.372  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json            3  thrpt    5   542.757 ±   1.657  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json            4  thrpt    5   547.127 ±   1.687  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json            5  thrpt    5   547.982 ±   2.115  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json            6  thrpt    5   578.193 ±   3.785  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json            7  thrpt    5   585.955 ±   2.151  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json            8  thrpt    5   599.146 ±   2.434  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json            9  thrpt    5   605.555 ±   2.051  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           10  thrpt    5   612.621 ±   6.242  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           11  thrpt    5   613.336 ±   1.966  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           12  thrpt    5   615.170 ±   1.245  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           13  thrpt    5   612.722 ±   1.665  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           14  thrpt    5   619.924 ±   2.224  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           15  thrpt    5   621.303 ±   3.548  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           16  thrpt    5   607.174 ±   1.859  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           17  thrpt    5   593.343 ±   2.450  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           18  thrpt    5   567.768 ± 132.326  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           19  thrpt    5   585.722 ±   0.805  ops/s
ZstdDecompressBenchmark.decompressPlainJson  /gsoc-2018.json           20  thrpt    5   583.499 ±   3.513  ops/s
